Main.MR.results.Exposure	Main.MR.results.MR.Analysis	Main.MR.results.Causal.Estimate	Main.MR.results.Sd	Main.MR.results.T.stat	Main.MR.results.P.value	MR.PRESSO.results.Global.Test.RSSobs	MR.PRESSO.results.Global.Test.Pvalue	MR.PRESSO.results.Outlier.Test.RSSobs	MR.PRESSO.results.Outlier.Test.Pvalue	MR.PRESSO.results.Distortion.Test.Outliers.Indices	MR.PRESSO.results.Distortion.Test.Distortion.Coefficient	MR.PRESSO.results.Distortion.Test.Pvalue
beta.exposure	Outlier-corrected	0.004230061	0.136593359	0.030968278	0.975330331	215.501762	0.038	0.000521226	1	45	-596.9665216	0.027
beta.exposure	Raw	-0.021021988	0.140055085	-0.150097996	0.880860157	215.501762	0.038	0.000477287	1	45	-596.9665216	0.027
beta.exposure	Outlier-corrected	0.004230061	0.136593359	0.030968278	0.975330331	215.501762	0.038	0.000243022	1	45	-596.9665216	0.027
beta.exposure	Raw	-0.021021988	0.140055085	-0.150097996	0.880860157	215.501762	0.038	0.003353727	1	45	-596.9665216	0.027
beta.exposure	Outlier-corrected	0.004230061	0.136593359	0.030968278	0.975330331	215.501762	0.038	0.003653536	1	45	-596.9665216	0.027
beta.exposure	Raw	-0.021021988	0.140055085	-0.150097996	0.880860157	215.501762	0.038	0.000983601	1	45	-596.9665216	0.027
beta.exposure	Outlier-corrected	0.004230061	0.136593359	0.030968278	0.975330331	215.501762	0.038	0.000443696	1	45	-596.9665216	0.027
beta.exposure	Raw	-0.021021988	0.140055085	-0.150097996	0.880860157	215.501762	0.038	3.55E-05	1	45	-596.9665216	0.027
beta.exposure	Outlier-corrected	0.004230061	0.136593359	0.030968278	0.975330331	215.501762	0.038	8.03E-05	1	45	-596.9665216	0.027
beta.exposure	Raw	-0.021021988	0.140055085	-0.150097996	0.880860157	215.501762	0.038	0.000464511	1	45	-596.9665216	0.027
beta.exposure	Outlier-corrected	0.004230061	0.136593359	0.030968278	0.975330331	215.501762	0.038	0.000179236	1	45	-596.9665216	0.027
beta.exposure	Raw	-0.021021988	0.140055085	-0.150097996	0.880860157	215.501762	0.038	0.002208317	1	45	-596.9665216	0.027
beta.exposure	Outlier-corrected	0.004230061	0.136593359	0.030968278	0.975330331	215.501762	0.038	0.000108049	1	45	-596.9665216	0.027
beta.exposure	Raw	-0.021021988	0.140055085	-0.150097996	0.880860157	215.501762	0.038	0.004914926	1	45	-596.9665216	0.027
beta.exposure	Outlier-corrected	0.004230061	0.136593359	0.030968278	0.975330331	215.501762	0.038	0.001355703	1	45	-596.9665216	0.027
beta.exposure	Raw	-0.021021988	0.140055085	-0.150097996	0.880860157	215.501762	0.038	0.000419519	1	45	-596.9665216	0.027
beta.exposure	Outlier-corrected	0.004230061	0.136593359	0.030968278	0.975330331	215.501762	0.038	0.002556584	1	45	-596.9665216	0.027
beta.exposure	Raw	-0.021021988	0.140055085	-0.150097996	0.880860157	215.501762	0.038	0.000891818	1	45	-596.9665216	0.027
beta.exposure	Outlier-corrected	0.004230061	0.136593359	0.030968278	0.975330331	215.501762	0.038	0.000339468	1	45	-596.9665216	0.027
beta.exposure	Raw	-0.021021988	0.140055085	-0.150097996	0.880860157	215.501762	0.038	0.001850344	1	45	-596.9665216	0.027
beta.exposure	Outlier-corrected	0.004230061	0.136593359	0.030968278	0.975330331	215.501762	0.038	4.13E-09	1	45	-596.9665216	0.027
beta.exposure	Raw	-0.021021988	0.140055085	-0.150097996	0.880860157	215.501762	0.038	0.000762064	1	45	-596.9665216	0.027
beta.exposure	Outlier-corrected	0.004230061	0.136593359	0.030968278	0.975330331	215.501762	0.038	0.000763349	1	45	-596.9665216	0.027
beta.exposure	Raw	-0.021021988	0.140055085	-0.150097996	0.880860157	215.501762	0.038	0.000296619	1	45	-596.9665216	0.027
beta.exposure	Outlier-corrected	0.004230061	0.136593359	0.030968278	0.975330331	215.501762	0.038	2.67E-05	1	45	-596.9665216	0.027
beta.exposure	Raw	-0.021021988	0.140055085	-0.150097996	0.880860157	215.501762	0.038	0.00056802	1	45	-596.9665216	0.027
beta.exposure	Outlier-corrected	0.004230061	0.136593359	0.030968278	0.975330331	215.501762	0.038	0.000104171	1	45	-596.9665216	0.027
beta.exposure	Raw	-0.021021988	0.140055085	-0.150097996	0.880860157	215.501762	0.038	0.001841387	1	45	-596.9665216	0.027
beta.exposure	Outlier-corrected	0.004230061	0.136593359	0.030968278	0.975330331	215.501762	0.038	0.000420246	1	45	-596.9665216	0.027
beta.exposure	Raw	-0.021021988	0.140055085	-0.150097996	0.880860157	215.501762	0.038	2.15E-06	1	45	-596.9665216	0.027
beta.exposure	Outlier-corrected	0.004230061	0.136593359	0.030968278	0.975330331	215.501762	0.038	0.000893083	1	45	-596.9665216	0.027
beta.exposure	Raw	-0.021021988	0.140055085	-0.150097996	0.880860157	215.501762	0.038	3.73E-07	1	45	-596.9665216	0.027
beta.exposure	Outlier-corrected	0.004230061	0.136593359	0.030968278	0.975330331	215.501762	0.038	0.002105216	1	45	-596.9665216	0.027
beta.exposure	Raw	-0.021021988	0.140055085	-0.150097996	0.880860157	215.501762	0.038	0.000930286	1	45	-596.9665216	0.027
beta.exposure	Outlier-corrected	0.004230061	0.136593359	0.030968278	0.975330331	215.501762	0.038	9.87E-05	1	45	-596.9665216	0.027
beta.exposure	Raw	-0.021021988	0.140055085	-0.150097996	0.880860157	215.501762	0.038	1.27E-05	1	45	-596.9665216	0.027
beta.exposure	Outlier-corrected	0.004230061	0.136593359	0.030968278	0.975330331	215.501762	0.038	0.000251195	1	45	-596.9665216	0.027
beta.exposure	Raw	-0.021021988	0.140055085	-0.150097996	0.880860157	215.501762	0.038	0.000476332	1	45	-596.9665216	0.027
beta.exposure	Outlier-corrected	0.004230061	0.136593359	0.030968278	0.975330331	215.501762	0.038	0.000387848	1	45	-596.9665216	0.027
beta.exposure	Raw	-0.021021988	0.140055085	-0.150097996	0.880860157	215.501762	0.038	0.000480752	1	45	-596.9665216	0.027
beta.exposure	Outlier-corrected	0.004230061	0.136593359	0.030968278	0.975330331	215.501762	0.038	0.000487468	1	45	-596.9665216	0.027
beta.exposure	Raw	-0.021021988	0.140055085	-0.150097996	0.880860157	215.501762	0.038	0.000571979	1	45	-596.9665216	0.027
beta.exposure	Outlier-corrected	0.004230061	0.136593359	0.030968278	0.975330331	215.501762	0.038	0.006140478	1	45	-596.9665216	0.027
beta.exposure	Raw	-0.021021988	0.140055085	-0.150097996	0.880860157	215.501762	0.038	1.10E-05	1	45	-596.9665216	0.027
beta.exposure	Outlier-corrected	0.004230061	0.136593359	0.030968278	0.975330331	215.501762	0.038	0.005356941	1	45	-596.9665216	0.027
beta.exposure	Raw	-0.021021988	0.140055085	-0.150097996	0.880860157	215.501762	0.038	0.001433732	1	45	-596.9665216	0.027
beta.exposure	Outlier-corrected	0.004230061	0.136593359	0.030968278	0.975330331	215.501762	0.038	0.000779713	1	45	-596.9665216	0.027
beta.exposure	Raw	-0.021021988	0.140055085	-0.150097996	0.880860157	215.501762	0.038	3.86E-05	1	45	-596.9665216	0.027
beta.exposure	Outlier-corrected	0.004230061	0.136593359	0.030968278	0.975330331	215.501762	0.038	5.75E-05	1	45	-596.9665216	0.027
beta.exposure	Raw	-0.021021988	0.140055085	-0.150097996	0.880860157	215.501762	0.038	1.93E-05	1	45	-596.9665216	0.027
beta.exposure	Outlier-corrected	0.004230061	0.136593359	0.030968278	0.975330331	215.501762	0.038	3.10E-05	1	45	-596.9665216	0.027
beta.exposure	Raw	-0.021021988	0.140055085	-0.150097996	0.880860157	215.501762	0.038	0.00749783	1	45	-596.9665216	0.027
beta.exposure	Outlier-corrected	0.004230061	0.136593359	0.030968278	0.975330331	215.501762	0.038	0.000459236	1	45	-596.9665216	0.027
beta.exposure	Raw	-0.021021988	0.140055085	-0.150097996	0.880860157	215.501762	0.038	0.000238251	1	45	-596.9665216	0.027
beta.exposure	Outlier-corrected	0.004230061	0.136593359	0.030968278	0.975330331	215.501762	0.038	0.000546621	1	45	-596.9665216	0.027
beta.exposure	Raw	-0.021021988	0.140055085	-0.150097996	0.880860157	215.501762	0.038	0.000274655	1	45	-596.9665216	0.027
beta.exposure	Outlier-corrected	0.004230061	0.136593359	0.030968278	0.975330331	215.501762	0.038	0.001189532	1	45	-596.9665216	0.027
beta.exposure	Raw	-0.021021988	0.140055085	-0.150097996	0.880860157	215.501762	0.038	0.001172177	1	45	-596.9665216	0.027
beta.exposure	Outlier-corrected	0.004230061	0.136593359	0.030968278	0.975330331	215.501762	0.038	0.0021404	1	45	-596.9665216	0.027
beta.exposure	Raw	-0.021021988	0.140055085	-0.150097996	0.880860157	215.501762	0.038	0.000536428	1	45	-596.9665216	0.027
beta.exposure	Outlier-corrected	0.004230061	0.136593359	0.030968278	0.975330331	215.501762	0.038	0.001234775	1	45	-596.9665216	0.027
beta.exposure	Raw	-0.021021988	0.140055085	-0.150097996	0.880860157	215.501762	0.038	0.002532596	1	45	-596.9665216	0.027
beta.exposure	Outlier-corrected	0.004230061	0.136593359	0.030968278	0.975330331	215.501762	0.038	0.00108194	1	45	-596.9665216	0.027
beta.exposure	Raw	-0.021021988	0.140055085	-0.150097996	0.880860157	215.501762	0.038	0.000472574	1	45	-596.9665216	0.027
beta.exposure	Outlier-corrected	0.004230061	0.136593359	0.030968278	0.975330331	215.501762	0.038	0.000690358	1	45	-596.9665216	0.027
beta.exposure	Raw	-0.021021988	0.140055085	-0.150097996	0.880860157	215.501762	0.038	0.000203734	1	45	-596.9665216	0.027
beta.exposure	Outlier-corrected	0.004230061	0.136593359	0.030968278	0.975330331	215.501762	0.038	0.00508903	1	45	-596.9665216	0.027
beta.exposure	Raw	-0.021021988	0.140055085	-0.150097996	0.880860157	215.501762	0.038	0.001163334	1	45	-596.9665216	0.027
beta.exposure	Outlier-corrected	0.004230061	0.136593359	0.030968278	0.975330331	215.501762	0.038	4.83E-05	1	45	-596.9665216	0.027
beta.exposure	Raw	-0.021021988	0.140055085	-0.150097996	0.880860157	215.501762	0.038	0.004480093	1	45	-596.9665216	0.027
beta.exposure	Outlier-corrected	0.004230061	0.136593359	0.030968278	0.975330331	215.501762	0.038	4.56E-05	1	45	-596.9665216	0.027
beta.exposure	Raw	-0.021021988	0.140055085	-0.150097996	0.880860157	215.501762	0.038	0.002747146	1	45	-596.9665216	0.027
beta.exposure	Outlier-corrected	0.004230061	0.136593359	0.030968278	0.975330331	215.501762	0.038	0.002545398	1	45	-596.9665216	0.027
beta.exposure	Raw	-0.021021988	0.140055085	-0.150097996	0.880860157	215.501762	0.038	0.000110282	1	45	-596.9665216	0.027
beta.exposure	Outlier-corrected	0.004230061	0.136593359	0.030968278	0.975330331	215.501762	0.038	0.001631473	1	45	-596.9665216	0.027
beta.exposure	Raw	-0.021021988	0.140055085	-0.150097996	0.880860157	215.501762	0.038	0.002864241	1	45	-596.9665216	0.027
beta.exposure	Outlier-corrected	0.004230061	0.136593359	0.030968278	0.975330331	215.501762	0.038	0.006792122	0.528	45	-596.9665216	0.027
beta.exposure	Raw	-0.021021988	0.140055085	-0.150097996	0.880860157	215.501762	0.038	4.76E-05	1	45	-596.9665216	0.027
beta.exposure	Outlier-corrected	0.004230061	0.136593359	0.030968278	0.975330331	215.501762	0.038	1.35E-07	1	45	-596.9665216	0.027
beta.exposure	Raw	-0.021021988	0.140055085	-0.150097996	0.880860157	215.501762	0.038	1.41E-05	1	45	-596.9665216	0.027
beta.exposure	Outlier-corrected	0.004230061	0.136593359	0.030968278	0.975330331	215.501762	0.038	0.002009729	1	45	-596.9665216	0.027
beta.exposure	Raw	-0.021021988	0.140055085	-0.150097996	0.880860157	215.501762	0.038	0.000255796	1	45	-596.9665216	0.027
beta.exposure	Outlier-corrected	0.004230061	0.136593359	0.030968278	0.975330331	215.501762	0.038	0.000340143	1	45	-596.9665216	0.027
